time,interval,temperature_2m,apparent_temperature,relative_humidity_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,pressure_msl,surface_pressure,city
2025-06-30T10:00,900,9.8,8.5,83,3.8,221,9.0,0.0,0.0,0.0,0.0,3,86,1030.3,1027.9,Melbourne
2025-06-29T18:00,900,18.5,18.3,74,9.3,13,29.2,0.7,0.0,0.7,0.0,95,100,1013.5,785.4,Mexico City
2025-06-30T04:30,900,16.7,13.7,32,5.6,285,22.0,0.0,0.0,0.0,0.0,0,0,1001.8,814.4,Kabul
2025-06-30T02:00,900,22.3,23.0,62,6.1,332,14.4,0.0,0.0,0.0,0.0,1,17,1021.8,992.7,Prague
2025-06-30T09:00,900,27.2,32.1,74,1.0,225,18.4,0.0,0.0,0.0,0.0,1,33,1012.4,1007.8,Tokyo
2025-06-29T20:00,900,22.1,23.3,67,4.7,81,7.9,0.0,0.0,0.0,0.0,0,0,1013.2,1001.7,Toronto
2025-06-30T03:30,900,25.9,23.1,19,5.5,23,11.9,0.0,0.0,0.0,0.0,1,14,1000.4,876.4,Tehran
2025-06-29T21:00,900,20.8,21.0,59,3.7,11,10.4,0.0,0.0,0.0,0.0,2,68,1019.1,937.3,Sao Paulo
2025-06-30T03:00,900,13.5,9.8,71,22.3,299,35.3,0.0,0.0,0.0,0.0,0,2,998.8,997.8,Helsinki
2025-06-29T19:00,900,27.9,29.7,61,13.0,156,20.9,0.0,0.0,0.0,0.0,3,100,1011.1,983.9,Chicago
2025-06-30T03:00,900,25.9,30.6,83,3.8,221,7.2,0.0,0.0,0.0,0.0,2,69,1002.7,998.9,Beirut
2025-06-30T03:00,900,19.8,21.9,92,6.9,223,11.9,0.0,0.0,0.0,0.0,2,53,1020.2,1019.4,Toamasina
2025-06-29T20:00,900,28.3,32.2,72,9.5,151,12.6,0.0,0.0,0.0,0.0,3,100,1017.9,1017.3,Miami
2025-06-30T02:00,900,22.4,22.3,64,12.2,50,24.8,0.0,0.0,0.0,0.0,0,0,1022.4,1019.3,Brussels
2025-06-30T02:00,900,28.6,26.4,21,5.9,43,20.2,0.0,0.0,0.0,0.0,3,99,1018.3,944.9,Madrid
2025-06-30T02:00,900,25.7,29.5,75,4.0,280,7.6,0.0,0.0,0.0,0.0,0,0,1017.2,1014.0,Barcelona
